trail_name,segment_count,total_length_meters,total_length_miles,category,keep,notes
Mid-Mountain Trail,40,11888.9,7.39,mountain_bike_trail,yes,Manually reviewed and confirmed
9K Trail,10,7659.5,4.76,mountain_bike_trail,yes,Manually reviewed and confirmed
Mother Urban,14,7212.8,4.48,mountain_bike_trail,yes,Manually reviewed and confirmed
Rambler,18,6853.9,4.26,mountain_bike_trail,yes,Manually reviewed and confirmed
CMG,11,6316.2,3.92,mountain_bike_trail,yes,Manually reviewed and confirmed
Lost Prospector,17,5852.3,3.64,mountain_bike_trail,yes,Manually reviewed and confirmed
Big Easy,13,5370.8,3.34,mountain_bike_trail,yes,Manually reviewed and confirmed
Jenni's Trail upper,11,5014.0,3.12,mountain_bike_trail,yes,Manually reviewed and confirmed
Spiro Trail,9,4967.3,3.09,mountain_bike_trail,yes,Manually reviewed and confirmed
Ripple Trail,22,4871.6,3.03,mountain_bike_trail,yes,Manually reviewed and confirmed
Armstrong,2,4810.4,2.99,mountain_bike_trail,yes,Manually reviewed and confirmed
Flagstaff Loop,20,4600.2,2.86,mountain_bike_trail,yes,Manually reviewed and confirmed
Tidal Wave,13,4299.6,2.67,mountain_bike_trail,yes,Manually reviewed and confirmed
Cyn City,3,4211.6,2.62,mountain_bike_trail,yes,Manually reviewed and confirmed
Keystone Trail,8,4190.2,2.6,mountain_bike_trail,yes,Manually reviewed and confirmed
Round Valley Express,22,4029.4,2.5,mountain_bike_trail,yes,Manually reviewed and confirmed
Solamere,11,3768.7,2.34,mountain_bike_trail,yes,Manually reviewed and confirmed
Empire Link,9,3544.9,2.2,mountain_bike_trail,yes,Manually reviewed and confirmed
Apex,6,3541.2,2.2,mountain_bike_trail,yes,Manually reviewed and confirmed
