trail_name,final_area,latitude,longitude,distance_miles,segment_count,node_count,source,review_notes
Cousin Eddy Trail,Clark Ranch,40.66170094764518,-111.45386933866466,0.5029713823608252,2,3,OpenStreetMap,
Family Truckster Trail,Clark Ranch,40.66038172048119,-111.452885753204,0.7140480173629205,1,2,OpenStreetMap,
Lower Sparky Trail,Clark Ranch,40.66761130235187,-111.4559551589961,1.4828649352522327,6,7,OpenStreetMap,
Princess Di's,Clark Ranch,40.751465442037045,-111.43628535405452,2.8912212182837727,1,2,OpenStreetMap,
Sparky's Return,Clark Ranch,40.6617858998794,-111.45698342605078,0.3675610486753038,2,3,OpenStreetMap,
Upper Sparky Trail,Clark Ranch,40.6599723509711,-111.45534390616216,1.9221996212174948,3,4,OpenStreetMap,
4:20,Deer Valley,40.63850725810498,-111.5016215026881,0.4123137984071924,2,3,OpenStreetMap,
Agitator Trail,Deer Valley,40.62594479567907,-111.46053082324435,1.2173080681452455,2,3,OpenStreetMap,
April Mountain Trail,Deer Valley,40.650711302598815,-111.4870593388075,0.6114526256825485,4,5,OpenStreetMap,
Aspen Slalom,Deer Valley,40.61311265842392,-111.48457791355952,1.3686273337883368,7,7,OpenStreetMap,
Black Forest,Deer Valley,40.61940428916709,-111.52036519166067,0.781123178236649,2,3,OpenStreetMap,
Bonanza Flat Overlook,Deer Valley,40.60116766018752,-111.5344182482656,0.1087655176126544,1,2,OpenStreetMap,
Bonanza Loop Trail,Deer Valley,40.60282163896819,-111.52815381158308,4.834329729028415,10,10,OpenStreetMap,
Bonanza Trail,Deer Valley,40.661614248984336,-111.49584605339936,0.2584346499388613,1,2,OpenStreetMap,
Boulder,Deer Valley,40.61539223980999,-111.50399769475118,1.4191229167481687,2,3,OpenStreetMap,
Boulder / Trump,Deer Valley,40.610998229404565,-111.50208555144307,0.4170315969258124,1,2,OpenStreetMap,
Bow Hunter,Deer Valley,40.60108596513679,-111.48484426536052,0.7280469316749235,3,4,OpenStreetMap,
Bow Hunter Extension,Deer Valley,40.59796119210968,-111.4848069886625,0.2307089827258786,2,2,OpenStreetMap,
Corvair,Deer Valley,40.61099169805087,-111.51230389508405,1.3049431257114052,5,6,OpenStreetMap,
Corvair (Upper),Deer Valley,40.60840912265719,-111.51090449857222,0.71810824957051,3,4,OpenStreetMap,
Corvair Connector,Deer Valley,40.61070239150149,-111.5115633319795,0.1021717936303133,1,2,OpenStreetMap,
Daily Overlook,Deer Valley,40.631723443280656,-111.4987920660294,0.2777557161436172,1,2,OpenStreetMap,
Daly Avenue,Deer Valley,40.63079192228995,-111.49966938212476,0.7863482675021584,3,4,OpenStreetMap,
Daly Bypass,Deer Valley,40.63469577874592,-111.4972952534869,0.3382822056798643,2,3,OpenStreetMap,
Daly Canyon,Deer Valley,40.620194319264456,-111.50922727258838,0.4118589210970415,5,6,OpenStreetMap,
Daly Grind,Deer Valley,40.62436395642222,-111.5065519695764,0.3276221065095611,1,2,OpenStreetMap,
Deer Camp,Deer Valley,40.60519585339864,-111.4911066437841,0.7066529041961844,5,6,OpenStreetMap,
Deer Crest,Deer Valley,40.63553157935396,-111.47424740401932,1.9905131675984973,11,12,OpenStreetMap,
Devo,Deer Valley,40.6296740826892,-111.48374523511592,0.1550254321075795,3,4,OpenStreetMap,
Empire Alternate,Deer Valley,40.62635819528807,-111.50016350153602,0.1095037763895134,1,2,OpenStreetMap,
Empire Link,Deer Valley,40.62422557470265,-111.50748256286928,2.2026734775219,9,10,OpenStreetMap,
Empire Lodge,Deer Valley,40.61442062316093,-111.51298418240138,0.3990093717656819,5,6,OpenStreetMap,
Empire Pass Connector,Deer Valley,40.60627316294136,-111.51481095351645,0.4445298999402851,4,5,OpenStreetMap,
Finns,Deer Valley,40.640763495812735,-111.47689190658058,0.3221560899820196,1,2,OpenStreetMap,
Fireswamp,Deer Valley,40.61340925382439,-111.48239833860336,0.7370914838453253,5,6,OpenStreetMap,
Flagstaff Loop,Deer Valley,40.60758047007656,-111.496735533601,3.0228944351889417,23,24,OpenStreetMap,
Gap Bypass Trail,Deer Valley,40.64123747413292,-111.47577580871994,0.3812804280106275,5,6,OpenStreetMap,
Gap Loop,Deer Valley,40.6409109833561,-111.47399614902376,1.9224854744893047,7,7,OpenStreetMap,
Grave Digger,Deer Valley,40.62962271716946,-111.50201210924322,0.4549010474108758,1,2,OpenStreetMap,
Heard It Both Ways Trail,Deer Valley,40.593082879194085,-111.49125770411068,3.5945179360871347,9,9,OpenStreetMap,
Holy Roller,Deer Valley,40.6113609111251,-111.48708066137604,4.160330612011111,16,17,OpenStreetMap,
Humdinger,Deer Valley,40.626356336628135,-111.46720603877804,3.2287801918582923,2,3,OpenStreetMap,
Io Trail (Middle),Deer Valley,40.61025792344493,-111.52770861008732,0.2892459757328841,2,3,OpenStreetMap,
Izzy's Inferno (Dog Pound),Deer Valley,40.619811878384205,-111.48856422719636,0.132612509409433,2,3,OpenStreetMap,
