trail_name,sampled_length_miles,topography_sample_count,minimum_elevation_feet,maximum_elevation_feet,mean_elevation_feet,elevation_range_feet,mean_slope_degrees,median_slope_degrees,maximum_slope_degrees,north_facing_pct,east_facing_pct,south_facing_pct,west_facing_pct,final_area,latitude,longitude,distance_miles,source
Cousin Eddy Trail,0.5,44,6718.9,6929.3,6817.2,210.3,12.7,12.6,22.5,0.0,0.0,29.5,70.5,Clark Ranch,40.66170094764518,-111.45386933866466,0.5029713823608252,OpenStreetMap
Family Truckster Trail,0.7,59,6733.2,6970.1,6847.4,236.9,11.5,11.2,18.1,0.0,0.0,30.5,69.5,Clark Ranch,40.66038172048119,-111.452885753204,0.7140480173629205,OpenStreetMap
Lower Sparky Trail,1.5,128,6645.8,6769.7,6689.8,124.0,4.2,3.5,14.5,0.0,7.0,36.7,56.2,Clark Ranch,40.66761130235187,-111.4559551589961,1.4828649352522327,OpenStreetMap
Princess Di's,2.9,234,6662.7,7029.2,6858.8,366.5,17.2,17.8,28.0,32.1,1.3,27.8,38.9,Clark Ranch,40.751465442037045,-111.43628535405452,2.8912212182837727,OpenStreetMap
Sparky's Return,0.4,32,6750.7,6826.6,6783.6,75.9,11.3,11.6,16.9,0.0,15.6,21.9,62.5,Clark Ranch,40.6617858998794,-111.45698342605078,0.3675610486753038,OpenStreetMap
Upper Sparky Trail,1.9,159,6752.0,6971.6,6878.4,219.6,13.5,12.2,28.4,0.6,54.7,25.2,19.5,Clark Ranch,40.6599723509711,-111.45534390616216,1.9221996212174948,OpenStreetMap
4:20,0.4,36,7754.7,7849.9,7810.7,95.2,17.8,17.9,26.6,0.0,0.0,22.2,77.8,Deer Valley,40.63850725810498,-111.5016215026881,0.4123137984071924,OpenStreetMap
Agitator Trail,1.2,101,7047.5,7374.2,7171.6,326.7,24.5,24.5,33.9,22.8,0.0,42.6,34.7,Deer Valley,40.62594479567907,-111.46053082324435,1.2173080681452455,OpenStreetMap
April Mountain Trail,0.6,56,7336.4,7548.4,7472.0,212.0,12.0,11.8,23.4,46.4,35.7,5.4,12.5,Deer Valley,40.650711302598815,-111.4870593388075,0.6114526256825485,OpenStreetMap
Aspen Slalom,1.4,121,8481.2,9250.5,8816.9,769.3,18.7,18.5,29.6,0.0,39.7,59.5,0.8,Deer Valley,40.61311265842392,-111.48457791355952,1.3686273337883368,OpenStreetMap
Black Forest,0.8,66,8567.5,9099.9,8929.3,532.5,15.9,16.4,31.7,3.0,9.1,77.3,10.6,Deer Valley,40.61940428916709,-111.52036519166067,0.781123178236649,OpenStreetMap
Bonanza Flat Overlook,0.1,10,9086.5,9126.7,9112.3,40.2,13.8,14.1,20.1,70.0,0.0,10.0,20.0,Deer Valley,40.60116766018752,-111.5344182482656,0.1087655176126544,OpenStreetMap
Bonanza Loop Trail,4.8,405,8695.4,9086.5,8908.5,391.1,11.5,11.2,26.8,44.0,4.9,11.1,40.0,Deer Valley,40.60282163896819,-111.52815381158308,4.834329729028415,OpenStreetMap
Bonanza Trail,0.3,22,6806.6,6827.9,6814.3,21.4,16.8,16.8,23.7,0.0,4.5,95.5,0.0,Deer Valley,40.661614248984336,-111.49584605339936,0.2584346499388613,OpenStreetMap
Boulder,1.4,117,8415.7,8851.3,8635.0,435.6,15.8,15.5,21.0,0.0,19.7,80.3,0.0,Deer Valley,40.61539223980999,-111.50399769475118,1.4191229167481687,OpenStreetMap
Boulder / Trump,0.4,35,8942.9,9037.1,8996.4,94.2,12.9,12.6,22.7,0.0,8.6,60.0,31.4,Deer Valley,40.610998229404565,-111.50208555144307,0.4170315969258124,OpenStreetMap
