trail_name,final_area,latitude,longitude,mean_elevation_feet,latitude_grid,longitude_grid,elevation_band,weather_group_key,weather_group_id,representative_latitude,representative_longitude,representative_elevation_feet,trail_count,minimum_elevation_feet,maximum_elevation_feet,elevation_difference_from_group_feet
An Unexpected Journey Trail,Jordanelle,40.584095263003086,-111.41492155800285,6731.9,1623,-3714,13,1623_-3714_13,WG001,40.58840378840483,-111.40762165616921,6685.099999999999,6,6514.0,6895.7,46.80000000000018
Beep Beep Trail,Jordanelle,40.59039066618902,-111.4033797731244,6670.3,1623,-3714,13,1623_-3714_13,WG001,40.58840378840483,-111.40762165616921,6685.099999999999,6,6514.0,6895.7,14.799999999999272
Coyote Loop Trail,Jordanelle,40.58676467246392,-111.40272629625528,6895.7,1623,-3714,13,1623_-3714_13,WG001,40.58840378840483,-111.40762165616921,6685.099999999999,6,6514.0,6895.7,210.60000000000036
Putty Tat Trail,Jordanelle,40.59267845848291,-111.40267007297948,6514.0,1623,-3714,13,1623_-3714_13,WG001,40.58840378840483,-111.40762165616921,6685.099999999999,6,6514.0,6895.7,171.09999999999945
Riverview West Trail,Jordanelle,40.58565113588149,-111.41386481977428,6730.6,1623,-3714,13,1623_-3714_13,WG001,40.58840378840483,-111.40762165616921,6685.099999999999,6,6514.0,6895.7,45.50000000000091
Tweety Bird Trail,Jordanelle,40.59084253440856,-111.40816741687898,6568.1,1623,-3714,13,1623_-3714_13,WG001,40.58840378840483,-111.40762165616921,6685.099999999999,6,6514.0,6895.7,116.99999999999909
Looney Tunes Trail,Jordanelle,40.58370423178651,-111.40605522395904,7149.3,1623,-3714,14,1623_-3714_14,WG002,40.58370423178651,-111.40605522395904,7149.3,1,7149.3,7149.3,0.0
WOW (Wasatch Over Wasatch) Trail,Deer Valley,40.585198990338895,-111.50729227137398,8248.2,1623,-3717,16,1623_-3717_16,WG003,40.585198990338895,-111.50729227137398,8248.2,1,8248.2,8248.2,0.0
Heard It Both Ways Trail,Deer Valley,40.593082879194085,-111.49125770411068,8855.0,1623,-3717,17,1623_-3717_17,WG004,40.59253130725229,-111.4945768147197,8693.75,2,8532.5,8855.0,161.25
Tricky Pickle Trail,Deer Valley,40.59197973531048,-111.49789592532872,8532.5,1623,-3717,17,1623_-3717_17,WG004,40.59253130725229,-111.4945768147197,8693.75,2,8532.5,8855.0,161.25
