u,v,key,osmid,trail_name,highway,length_meters,length_miles
83834794,3148162062,0,309480609,Apex,path,989.9227553789792,0.615109482732703
83834794,5058404584,0,309480609,Apex,path,1761.1428183995806,1.094323412769166
83834794,2790449253,0,309481196,Keystone Trail,path,1697.6629003828373,1.054878820427974
83834794,83834806,0,309481196,Keystone Trail,path,697.1093517649622,0.4331636690259896
83834806,3635410683,0,309481196,Keystone Trail,path,281.1883987135581,0.17472237055195042
83834806,3635410626,0,358640059,Three Candles,path,1184.804724197913,0.7362035240432828
83834827,9898350491,0,1343884061,Meadow Road,track,46.36523907566767,0.028810023882816643
83834827,9898350468,0,1343884061,Meadow Road,track,383.45907472941053,0.23827042243883875
83848255,83848635,0,1036052864,Powerline Trail,path,208.32071129460388,0.12944448874485745
83848255,3058125149,0,1036052864,Powerline Trail,path,825.8181831970966,0.513139629064449
83848255,2481633161,0,"[1411064794, 518350723, 1411064795]",Mid-Mountain Trail,path,76.22999406259763,0.047367122294921175
83848635,2481633161,0,10158304,Thaynes Canyon,track,164.78613136756388,0.1023933549120411
83848635,1509418695,0,1036083677,Spiro Trail,track,428.31897357136415,0.2661450712659097
83849064,10099170104,0,10161591,Flat Iron,track,112.9785365237073,0.07020160793696519
83849064,9898312441,0,10161591,Flat Iron,track,234.31893315892043,0.14559903486073855
83849064,10099170102,0,302343123,Miner's Mile,track,82.73211126767033,0.051407350614704084
83849236,3065981121,0,10159683,Trestle,track,16.183601876416212,0.010056023992643097
83849245,10099187193,0,10158170,Drift Road,track,6.982968164038763,0.004339015253444113
83849245,9898312600,0,10158170,Drift Road,track,110.89752873679525,0.06890852964735647
83849245,6595563369,0,10159683,Trestle,track,290.5139856035386,0.18051702159609043
83849245,3065981126,0,302341129,Johns Trail,track,265.69579372744187,0.1650957121208653
83849245,3066008879,0,302343848,Mid-Mountain Connect,track,187.83224542378787,0.11671354627959458
83849245,9898609390,0,302343850,Jenni's Trail upper,path,58.48180089969,0.03633890634922676
83849262,2790415975,0,10159975,Wasatch Crest Connect,track,585.7875311254487,0.3639914966131844
83849262,3058133583,0,10159975,Wasatch Crest Connect,track,418.8158164314337,0.26024008318385233
83854789,9128711762,0,10160014,Empire Pass Connector,path,32.907775375150536,0.020447943618735667
83854807,83854809,0,1080350940,Bow Hunter Connect Road,track,63.85417053663075,0.039677142075672286
83854807,84209895,0,1103861755,Bow Hunter Connect,track,52.76457201799476,0.032786385022714075
83854809,84209895,0,10160017,Deer Camp Road,track,66.04391765523765,0.04103778785345933
83854809,83854814,0,10160017,Deer Camp Road,track,299.18672594584115,0.1859060126025518
83854814,5057896311,0,10160017,Deer Camp Road,track,161.30235942944256,0.10022863938936769
83854814,5057896462,0,518525915,Bow Hunter,path,170.07388030560367,0.10567900977392258
83854819,8939371851,0,518525913,To Deer Camp,path,17.169426247055256,0.010668586857163698
83854819,5057896311,0,10160017,Deer Camp Road,track,140.627081327581,0.08738161718537553
83860792,83860805,0,10160400,Bonanza Trail,track,415.9102532712069,0.25843464993886134
83860805,4984146478,0,1103954333,Freemason,track,56.71655204949506,0.03524203156658555
83860805,4984146500,0,509133071,Freemason,path,877.2959299217013,0.5451264179204081
83876728,12434458503,0,1036071253,Meadow Road,track,77.82691170885388,0.04835940091668026
83880087,2485118332,0,"[240822979, 10161933]",Morning Sky Court / Fairway Hills Trail,"['path', 'residential']",499.58665168320505,0.3104287533822508
83881910,7054290935,0,"[10162091, 1344389468]",Iron Mountain Drive,"['residential', 'track']",143.21965508019775,0.08899256782900222
83882178,3727626125,0,368924260,Prospect,path,527.6017295768407,0.327836515733641
83882999,3057927618,0,"[963605648, 963674683]",Silver Star Drive,"['path', 'residential']",192.17090103072044,0.11940946188678148
83883303,5058230755,0,"[10162259, 302331627]",Daly Avenue,"['residential', 'track']",393.48232688950077,0.24449858258364945
83883485,3714741445,0,"[1104743649, 98208883]",Ashley Avenue,"['path', 'residential']",624.1694548594878,0.38784091832416673
83885328,4984146500,0,509297830,Hang Time South,path,198.16531132368453,0.12313421575728031
83886557,3065065032,0,"[302253792, 10162818, 302253795]",Eagle Way,"['path', 'residential', 'track']",1475.6402596362782,0.9169203474436032
83886573,10102156413,0,1103954337,Full Steam Billy,path,101.10291630308704,0.06282243964192058
83886580,3724208706,0,368565996,Lost Prospector,path,122.16452957407917,0.07590951939055862
83886591,485571472,0,"[10162579, 1103646551]",Crescent Road / Crescent Ridge Road,"['path', 'residential']",540.0054005802824,0.3355437995731692
83887992,4984146525,0,302251013,Lost Prospector,path,91.72913524356048,0.056997842129190825
