u,v,key,osmid,name,highway,length,access,width,geometry
83817530,83881741,0,10162076,Monarch Drive,residential,80.13493824691756,,,"LINESTRING (-111.494018 40.665597, -111.493984 40.664877)"
83817530,83817532,0,10157470,Ina Avenue,residential,88.61525109547571,,,"LINESTRING (-111.494018 40.665597, -111.493931 40.665601, -111.493541 40.66562, -111.492975 40.665687)"
83817530,83881738,0,10162076,Monarch Drive,residential,93.19305996635502,,,"LINESTRING (-111.494018 40.665597, -111.49403 40.665792, -111.494056 40.66621, -111.494054 40.666345, -111.494048 40.666435)"
83817532,83889140,0,10162823,Sunrise Circle,residential,76.44684886280056,,,"LINESTRING (-111.492975 40.665687, -111.492814 40.66501)"
83817532,83817534,0,10157470,Ina Avenue,residential,93.34707841041832,,,"LINESTRING (-111.492975 40.665687, -111.491996 40.66582, -111.491886 40.665835)"
83817532,83817530,0,10157470,Ina Avenue,residential,88.6152510954757,,,"LINESTRING (-111.492975 40.665687, -111.493541 40.66562, -111.493931 40.665601, -111.494018 40.665597)"
83817534,83817532,0,10157470,Ina Avenue,residential,93.34707841041832,,,"LINESTRING (-111.491886 40.665835, -111.491996 40.66582, -111.492975 40.665687)"
83817534,83881973,0,10162718,Comstock Drive,tertiary,149.7668015907185,,,"LINESTRING (-111.491886 40.665835, -111.49186 40.665714, -111.491755 40.665407, -111.491639 40.665117, -111.491514 40.66483, -111.491393 40.664542)"
83817534,83887969,0,10162718,Comstock Drive,tertiary,74.98877140354963,,,"LINESTRING (-111.491886 40.665835, -111.491927 40.666095, -111.49196 40.666506)"
83817553,12124824399,0,10157472,Hillside Avenue,tertiary,146.938525286046,destination,,"LINESTRING (-111.49456 40.639359, -111.494469 40.639321, -111.49437 40.639314, -111.494284 40.639338, -111.494194 40.639386, -111.494105 40.639461, -111.494016 40.6396, -111.493946 40.639726, -111.49375 40.639936, -111.493675 40.640012, -111.493619 40.640053, -111.493531 40.640083, -111.493448 40.640091, -111.49335 40.640094)"
83817553,83883303,0,10162259,Daly Avenue,residential,440.20929675659795,destination,,"LINESTRING (-111.49456 40.639359, -111.49462 40.639272, -111.49471 40.639117, -111.495134 40.638302, -111.495825 40.636959, -111.496111 40.636311, -111.496405 40.635658)"
83817553,83888199,0,1309414869,Daly Avenue,tertiary,40.76232454526132,destination,,"LINESTRING (-111.49456 40.639359, -111.494479 40.639518, -111.494446 40.639603, -111.494419 40.639709)"
83817633,83817637,0,10157482,Webster Court,residential,57.02069474838111,destination,,"LINESTRING (-111.515848 40.663356, -111.516032 40.663203, -111.516241 40.663151, -111.516377 40.663059)"
83817633,83879638,0,10161894,Webster Drive,residential,98.14837749659438,destination,,"LINESTRING (-111.515848 40.663356, -111.515342 40.66315, -111.515177 40.663032, -111.515102 40.662874, -111.515076 40.662769)"
83817633,83879632,0,10161894,Webster Drive,residential,162.35810659233618,destination,,"LINESTRING (-111.515848 40.663356, -111.516269 40.663591, -111.516696 40.663985, -111.516937 40.664094, -111.517145 40.664127, -111.517382 40.664133)"
83817637,83817633,0,10157482,Webster Court,residential,57.0206947483811,destination,,"LINESTRING (-111.516377 40.663059, -111.516241 40.663151, -111.516032 40.663203, -111.515848 40.663356)"
83817680,83817683,0,10157495,Eladar Place,residential,87.7207187515547,,,"LINESTRING (-111.477048 40.653214, -111.476651 40.653361, -111.476358 40.653411, -111.47607 40.653357)"
83817680,485574037,0,102360333,Solamere Drive,residential,125.15690601915186,,,"LINESTRING (-111.477048 40.653214, -111.477469 40.653806, -111.477574 40.653905, -111.477675 40.653969, -111.477824 40.654015, -111.477956 40.65404)"
83817680,83887651,0,102360333,Solamere Drive,residential,81.7953300585775,,,"LINESTRING (-111.477048 40.653214, -111.476886 40.652994, -111.476804 40.652783, -111.476779 40.652634, -111.476766 40.652521)"
83817683,83817680,0,10157495,Eladar Place,residential,87.7207187515547,,,"LINESTRING (-111.47607 40.653357, -111.476358 40.653411, -111.476651 40.653361, -111.477048 40.653214)"
83830661,83830668,0,10158292,,service,69.45419918763379,,,"LINESTRING (-111.495592 40.665279, -111.495856 40.665469, -111.496202 40.665239)"
83830668,7013597332,0,10160982,,service,17.167876387618147,,,"LINESTRING (-111.496202 40.665239, -111.496348 40.665346)"
83830668,2727242518,0,10158292,,service,184.75658327404807,,,"LINESTRING (-111.496202 40.665239, -111.496192 40.665168, -111.496214 40.664797, -111.497399 40.664802, -111.497681 40.66504)"
83830668,83830661,0,10158292,,service,69.45419918763379,,,"LINESTRING (-111.496202 40.665239, -111.495856 40.665469, -111.495592 40.665279)"
83830683,2727242518,0,10158292,,service,19.95051643128751,,,"LINESTRING (-111.497837 40.665174, -111.497681 40.66504)"
83830683,2623578248,0,1351847714,Kearns Boulevard,trunk,23.32974309560931,,,"LINESTRING (-111.497837 40.665174, -111.497638 40.66532)"
83830683,6615358964,0,1351847714,Kearns Boulevard,trunk,111.96521830909404,,,"LINESTRING (-111.497837 40.665174, -111.498803 40.664484)"
83830710,83830711,0,10158298,,service,25.017807870067774,,,"LINESTRING (-111.487986 40.626466, -111.487847 40.626664)"
83830710,83882951,0,10162209,Cache Drive,service,14.477110346283354,,,"LINESTRING (-111.487986 40.626466, -111.488026 40.626506, -111.488114 40.62655)"
83830710,83882945,0,10162209,Cache Drive,service,108.9493117540816,,,"LINESTRING (-111.487986 40.626466, -111.488008 40.626391, -111.487998 40.626299, -111.487966 40.626156, -111.488001 40.625871, -111.488164 40.625765, -111.488439 40.625707)"
83830711,83830710,0,10158298,,service,25.017807870067774,,,"LINESTRING (-111.487847 40.626664, -111.487986 40.626466)"
83831730,83877454,0,1344394068,,track,455.5040899911541,,,"LINESTRING (-111.491253 40.635342, -111.48975 40.635531, -111.489095 40.635522, -111.48853 40.63537, -111.488191 40.635116, -111.487857 40.634908, -111.487506 40.634801, -111.48719 40.634774, -111.486991 40.634814, -111.486735 40.635019, -111.486538 40.635233, -111.486448 40.63525)"
83831733,83890964,0,10163050,Payday Drive,residential,8.945732230103934,,,"LINESTRING (-111.520178 40.668118, -111.520072 40.668123)"
83831733,6190159636,0,1344396105,,service,104.58797036469576,,,"LINESTRING (-111.520178 40.668118, -111.520299 40.669054)"
83831733,83884040,0,10163050,Payday Drive,residential,64.45033334586051,,,"LINESTRING (-111.520178 40.668118, -111.520446 40.668095, -111.520941 40.668104)"
83831739,12437443627,0,1344396105,,service,56.24288785083207,,,"LINESTRING (-111.520355 40.669799, -111.520352 40.670169, -111.520267 40.670288)"
83831739,6190159636,0,1344396105,,service,82.97228683259044,,,"LINESTRING (-111.520355 40.669799, -111.520345 40.669411, -111.520299 40.669054)"
83831739,6190159636,1,"[10158377, 1344396106]",,service,209.08879480378215,,,"LINESTRING (-111.520355 40.669799, -111.521119 40.669787, -111.521179 40.66966, -111.521181 40.669279, -111.521137 40.66918, -111.521035 40.669105, -111.520926 40.669068, -111.520576 40.6691, -111.520299 40.669054)"
