trail_name,segment_count,total_length_meters,total_length_miles
Mid-Mountain Trail,40,11888.9,7.39
9K Trail,10,7659.5,4.76
Mother Urban,14,7212.8,4.48
Rambler,18,6853.9,4.26
CMG,11,6316.2,3.92
Lost Prospector,17,5852.3,3.64
Big Easy,13,5370.8,3.34
Deer Valley Service,32,5029.8,3.13
Jenni's Trail upper,11,5014.0,3.12
Spiro Trail,9,4967.3,3.09
Ripple Trail,22,4871.6,3.03
Armstrong,2,4810.4,2.99
Flagstaff Loop,20,4600.2,2.86
Tidal Wave,13,4299.6,2.67
Cyn City,3,4211.6,2.62
Keystone Trail,8,4190.2,2.6
Round Valley Express,22,4029.4,2.5
Solamere,11,3768.7,2.34
Empire Link,9,3544.9,2.2
Apex,6,3541.2,2.2
Thaynes Road,17,3532.8,2.2
Holy Roller,11,3509.2,2.18
Naildriver,13,3346.0,2.08
McConkeys,12,3331.2,2.07
Regulator Trail,8,3267.9,2.03
Deer Crest,11,3203.4,1.99
Gap Loop,7,3093.9,1.92
Seldom Seen,7,3062.6,1.9
Johns Trail,6,2970.2,1.85
Rossi Hill Trail,10,2871.0,1.78
The Lookout,3,2764.5,1.72
Pipeline,5,2684.8,1.67
Snowtop,2,2678.9,1.66
Boulder,3,2672.4,1.66
Payday,7,2668.0,1.66
Lynx #2,3,2535.7,1.58
Downward Dog,3,2535.5,1.58
Drift Road,14,2535.4,1.58
Tommys Two Step,5,2482.5,1.54
Freemason,4,2475.1,1.54
Gotcha Cuttoff,7,2383.7,1.48
Undertow Trail,8,2334.7,1.45
Claim Jumper,11,2318.7,1.44
Jenni's Trail,7,2261.1,1.41
Pulp Friction,2,2225.8,1.38
TDS Ontario Bypass,14,2208.4,1.37
Ontario Canyon,12,2198.7,1.37
Tour De Homes,2,2190.2,1.36
Rademan Ridge,10,2151.3,1.34
Fast Pitch Trail,7,2129.3,1.32
Hat Trick Trail,5,2108.2,1.31
Corvair,5,2100.1,1.3
Team Big Bear,3,2096.0,1.3
Nowhere Elks,10,2053.2,1.28
Masonic,3,2046.5,1.27
Evil Empire,5,2024.6,1.26
Ontario Ridge Road,8,2023.7,1.26
Trestle,11,2021.9,1.26
Jupiter Access,9,2007.1,1.25
Skid Row,3,1977.4,1.23
Red Bull,5,1947.7,1.21
Valderoad,8,1917.2,1.19
King Road,4,1911.1,1.19
T&G,7,1885.9,1.17
Johns '99,3,1844.8,1.15
Lower Devo Trail,5,1804.4,1.12
Solamere Connector,1,1687.4,1.05
Twist and Shout,4,1686.5,1.05
Crescent Ridge,7,1679.1,1.04
Gambel Oak Trail,4,1658.2,1.03
Steps,5,1653.1,1.03
Backslide,4,1639.5,1.02
Sweeney Switchbacks,3,1631.0,1.01
Matt's Flat,13,1597.7,0.99
Sam's Trail,5,1547.3,0.96
Road to Ruby,6,1546.3,0.96
Silver Queen,1,1541.9,0.96
Somewhere Elks,1,1536.2,0.95
Flat Cable,10,1535.3,0.95
La Dee Duh,4,1530.0,0.95
Fat Lip,4,1529.0,0.95
