date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precip_1d,precip_3d,precip_7d,mean_temp_3d,mean_temp_7d,freeze_thaw,freeze_thaw_3d,freeze_thaw_7d,snowfall_3d,snowfall_7d,days_since_precip
2023-01-01,33.2,27.4,30.8,1.728,0.0,12.098,1.728,1.728,1.728,30.8,30.8,1,1.0,1.0,12.098,12.098,0
2023-01-02,27.4,21.8,24.8,0.193,0.0,1.35,0.193,1.921,1.921,27.8,27.8,0,1.0,1.0,13.448,13.448,0
2023-01-03,23.6,18.5,21.6,0.169,0.008,1.13,0.169,2.09,2.09,25.733333333333334,25.733333333333334,0,1.0,1.0,14.578000000000001,14.578000000000001,0
2023-01-04,26.3,13.4,19.2,0.0,0.0,0.0,0.0,0.362,2.09,21.86666666666667,24.1,0,0.0,1.0,2.48,14.578000000000001,1
2023-01-05,30.6,20.2,26.6,0.232,0.0,1.626,0.232,0.401,2.322,22.46666666666667,24.6,0,0.0,1.0,2.756,16.204,0
2023-01-06,29.7,24.2,27.2,0.437,0.0,3.059,0.437,0.669,2.759,24.333333333333332,25.03333333333333,0,0.0,1.0,4.6850000000000005,19.263,0
2023-01-07,30.0,17.2,22.3,0.0,0.0,0.0,0.0,0.669,2.759,25.366666666666664,24.642857142857142,0,0.0,1.0,4.6850000000000005,19.263,1
2023-01-08,31.4,18.6,24.4,0.012,0.0,0.083,0.012,0.449,1.043,24.633333333333336,23.728571428571428,0,0.0,0.0,3.1420000000000003,7.248,0
2023-01-09,31.7,18.8,26.3,0.709,0.0,4.961,0.709,0.7209999999999999,1.559,24.333333333333332,23.942857142857147,0,0.0,0.0,5.0440000000000005,10.859,0
2023-01-10,35.7,30.0,32.1,1.244,0.004,8.681,1.244,1.965,2.634,27.600000000000005,25.442857142857143,1,1.0,1.0,13.725,18.41,0
2023-01-11,30.4,18.2,25.6,0.417,0.0,2.921,0.417,2.37,3.0509999999999997,28.0,26.357142857142858,0,1.0,1.0,16.563,21.331,0
2023-01-12,36.1,17.8,23.9,0.0,0.0,0.0,0.0,1.661,2.819,27.2,25.97142857142857,1,2.0,2.0,11.601999999999999,19.705,1
2023-01-13,36.5,25.3,31.7,0.0,0.0,0.0,0.0,0.4170000000000002,2.3819999999999997,27.066666666666666,26.614285714285717,1,2.0,3.0,2.921,16.646,2
2023-01-14,34.5,24.0,29.3,0.189,0.004,1.323,0.189,0.18900000000000022,2.5709999999999997,28.3,27.614285714285717,1,3.0,4.0,1.323,17.969,0
2023-01-15,29.1,22.8,27.2,1.22,0.0,8.543,1.22,1.4090000000000003,3.779,29.400000000000002,28.014285714285712,0,2.0,4.0,9.866,26.429,0
2023-01-16,28.2,20.6,24.4,0.327,0.0,2.287,0.327,1.7360000000000002,3.3970000000000002,26.966666666666665,27.742857142857144,0,1.0,4.0,12.152999999999999,23.754999999999995,0
2023-01-17,27.7,20.6,23.6,0.386,0.0,2.728,0.386,1.9330000000000003,2.539,25.066666666666666,26.52857142857143,0,0.0,3.0,13.558,17.802,0
2023-01-18,23.1,10.6,19.1,0.016,0.0,0.11,0.016,0.7290000000000002,2.1380000000000003,22.366666666666664,25.599999999999998,0,0.0,3.0,5.125,14.991,0
2023-01-19,23.6,10.4,16.8,0.079,0.0,0.551,0.079,0.4810000000000002,2.217,19.833333333333336,24.585714285714285,0,0.0,2.0,3.3890000000000002,15.542,0
2023-01-20,20.4,9.5,14.9,0.024,0.0,0.165,0.024,0.11900000000000022,2.241,16.933333333333334,22.185714285714287,0,0.0,1.0,0.8260000000000001,15.706999999999999,0
2023-01-21,22.2,7.6,13.7,0.0,0.0,0.0,0.0,0.10300000000000023,2.052,15.133333333333333,19.957142857142856,0,0.0,0.0,0.7160000000000001,14.383999999999999,1
2023-01-22,16.1,9.6,12.5,0.063,0.0,0.441,0.063,0.08700000000000023,0.895,13.700000000000001,17.857142857142858,0,0.0,0.0,0.606,6.282,0
2023-01-23,22.6,8.8,13.7,0.004,0.0,0.028,0.004,0.06700000000000023,0.5720000000000001,13.299999999999999,16.32857142857143,0,0.0,0.0,0.469,4.023000000000001,1
2023-01-24,19.7,7.5,13.9,0.016,0.0,0.11,0.016,0.08300000000000023,0.20199999999999999,13.366666666666665,14.942857142857145,0,0.0,0.0,0.579,1.405,0
2023-01-25,20.3,11.4,15.4,0.055,0.004,0.358,0.055,0.07500000000000022,0.241,14.333333333333334,14.414285714285713,0,0.0,0.0,0.496,1.653,0
2023-01-26,23.3,11.0,17.2,0.0,0.0,0.0,0.0,0.07100000000000022,0.16199999999999998,15.5,14.471428571428572,0,0.0,0.0,0.46799999999999997,1.1019999999999999,1
2023-01-27,27.9,19.4,23.7,0.213,0.0,1.488,0.213,0.26800000000000024,0.351,18.766666666666666,15.728571428571428,0,0.0,0.0,1.846,2.425,0
2023-01-28,24.9,17.6,22.5,0.217,0.004,1.543,0.217,0.4300000000000002,0.5680000000000001,21.13333333333333,16.985714285714288,0,0.0,0.0,3.0309999999999997,3.968,0
2023-01-29,26.0,17.5,21.0,0.173,0.0,1.213,0.173,0.6030000000000002,0.678,22.400000000000002,18.2,0,0.0,0.0,4.244,4.74,0
2023-01-30,17.3,5.8,13.0,0.024,0.0,0.165,0.024,0.41400000000000026,0.6980000000000001,18.833333333333332,18.1,0,0.0,0.0,2.921,4.877,0
2023-01-31,19.1,-2.0,7.6,0.0,0.0,0.0,0.0,0.1970000000000002,0.682,13.866666666666665,17.2,0,0.0,0.0,1.3780000000000001,4.767,1
2023-02-01,26.4,6.8,15.0,0.0,0.0,0.0,0.0,0.024000000000000223,0.627,11.866666666666667,17.142857142857142,0,0.0,0.0,0.165,4.409,2
2023-02-02,34.6,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.627,14.866666666666667,17.82857142857143,1,1.0,1.0,0.0,4.409,3
2023-02-03,35.3,17.7,25.3,0.0,0.0,0.0,0.0,0.0,0.41400000000000003,20.766666666666666,18.057142857142857,1,2.0,2.0,0.0,2.921,4
2023-02-04,38.4,21.3,27.9,0.0,0.0,0.0,0.0,0.0,0.197,25.066666666666666,18.828571428571426,1,3.0,3.0,0.0,1.3780000000000001,5
2023-02-05,31.6,19.1,25.0,0.15,0.0,1.047,0.15,0.15000000000000022,0.17400000000000002,26.066666666666666,19.4,0,2.0,3.0,1.047,1.212,0
2023-02-06,24.8,15.4,20.5,0.075,0.0,0.524,0.075,0.2250000000000002,0.22500000000000003,24.46666666666667,20.471428571428568,0,1.0,3.0,1.571,1.571,0
2023-02-07,31.2,16.9,22.4,0.0,0.0,0.0,0.0,0.2250000000000002,0.22500000000000003,22.63333333333333,22.585714285714285,0,0.0,3.0,1.571,1.571,1
2023-02-08,30.3,14.7,21.1,0.063,0.0,0.441,0.063,0.13800000000000023,0.28800000000000003,21.333333333333332,23.457142857142856,0,0.0,3.0,0.9650000000000001,2.012,0
2023-02-09,24.2,7.5,14.2,0.0,0.0,0.0,0.0,0.06300000000000022,0.28800000000000003,19.23333333333333,22.342857142857145,0,0.0,2.0,0.441,2.012,1
2023-02-10,34.5,11.7,21.3,0.0,0.0,0.0,0.0,0.06300000000000022,0.28800000000000003,18.866666666666664,21.77142857142857,1,1.0,2.0,0.441,2.012,2
2023-02-11,35.4,21.3,29.5,0.0,0.0,0.0,0.0,0.0,0.28800000000000003,21.666666666666668,22.0,1,2.0,2.0,0.0,2.012,3
2023-02-12,34.4,19.7,27.3,0.0,0.0,0.0,0.0,0.0,0.138,26.03333333333333,22.32857142857143,1,3.0,3.0,0.0,0.9650000000000001,4
2023-02-13,35.0,18.5,28.0,0.0,0.0,0.0,0.0,0.0,0.06300000000000003,28.26666666666667,23.400000000000002,1,3.0,4.0,0.0,0.441,5
2023-02-14,20.3,9.3,15.5,0.098,0.0,0.689,0.098,0.09800000000000023,0.16100000000000003,23.600000000000005,22.41428571428571,0,2.0,4.0,0.689,1.13,0
2023-02-15,14.4,5.6,10.7,0.012,0.0,0.083,0.012,0.11000000000000022,0.11000000000000003,18.066666666666666,20.928571428571427,0,1.0,4.0,0.7719999999999999,0.7719999999999999,0
2023-02-16,22.4,2.6,11.6,0.0,0.0,0.0,0.0,0.11000000000000022,0.11000000000000003,12.6,20.557142857142857,0,0.0,4.0,0.7719999999999999,0.772,1
2023-02-17,36.3,9.8,21.4,0.0,0.0,0.0,0.0,0.012000000000000222,0.11000000000000003,14.566666666666665,20.571428571428573,1,1.0,4.0,0.083,0.772,2
2023-02-18,31.2,13.3,21.9,0.0,0.0,0.0,0.0,0.0,0.11000000000000003,18.3,19.485714285714284,0,1.0,3.0,0.0,0.772,3
2023-02-19,30.4,17.8,22.3,0.087,0.0,0.606,0.087,0.08700000000000022,0.197,21.866666666666664,18.771428571428572,0,1.0,2.0,0.606,1.3780000000000001,0
2023-02-20,34.1,17.6,25.1,0.051,0.0,0.358,0.051,0.1380000000000002,0.24800000000000003,23.099999999999998,18.357142857142858,1,1.0,2.0,0.964,1.736,0
2023-02-21,31.9,20.4,26.3,0.976,0.0,6.835,0.976,1.114,1.126,24.566666666666666,19.900000000000002,0,1.0,2.0,7.7989999999999995,7.882,0
2023-02-22,25.0,10.7,16.4,0.795,0.0,5.567,0.795,1.8220000000000003,1.909,22.600000000000005,20.714285714285715,0,1.0,2.0,12.760000000000002,13.366,0
2023-02-23,17.4,7.3,12.9,0.272,0.0,1.902,0.272,2.043,2.181,18.53333333333333,20.9,0,0.0,2.0,14.304,15.267999999999999,0
2023-02-24,23.5,9.4,15.4,0.063,0.0,0.441,0.063,1.1300000000000003,2.244,14.9,20.042857142857144,0,0.0,1.0,7.910000000000001,15.709,0
2023-02-25,36.3,14.2,24.2,0.0,0.0,0.0,0.0,0.33500000000000024,2.244,17.5,20.37142857142857,1,1.0,2.0,2.343000000000001,15.709,1
2023-02-26,30.3,19.3,24.3,0.059,0.0,0.413,0.059,0.12200000000000022,2.2159999999999997,21.3,20.657142857142855,0,1.0,2.0,0.8540000000000009,15.516,0
2023-02-27,25.2,20.9,23.1,0.594,0.0,4.161,0.594,0.6530000000000002,2.7590000000000003,23.866666666666664,20.37142857142857,0,1.0,1.0,4.574000000000001,19.319,0
2023-02-28,22.8,16.4,19.6,0.394,0.0,2.756,0.394,1.0470000000000002,2.177,22.333333333333332,19.414285714285715,0,0.0,1.0,7.33,15.24,0
2023-03-01,25.1,16.4,20.0,0.378,0.004,2.618,0.378,1.366,1.76,20.900000000000002,19.928571428571427,0,0.0,1.0,9.535,12.291,0
2023-03-02,26.0,15.1,19.7,0.0,0.0,0.0,0.0,0.7720000000000001,1.488,19.766666666666666,20.900000000000002,0,0.0,1.0,5.3740000000000006,10.389,1
2023-03-03,26.6,13.4,20.4,0.055,0.0,0.386,0.055,0.4330000000000001,1.48,20.033333333333335,21.614285714285717,0,0.0,1.0,3.004000000000001,10.334,0
2023-03-04,27.5,12.6,21.0,0.268,0.0,1.874,0.268,0.3230000000000001,1.748,20.366666666666664,21.157142857142862,0,0.0,0.0,2.260000000000001,12.208,0
2023-03-05,23.3,16.9,20.6,0.232,0.0,1.626,0.232,0.5550000000000002,1.921,20.666666666666668,20.62857142857143,0,0.0,0.0,3.886000000000001,13.421,0
2023-03-06,19.1,12.3,16.3,0.406,0.004,2.811,0.406,0.9060000000000001,1.733,19.3,19.657142857142855,0,0.0,0.0,6.311000000000001,12.071,0
2023-03-07,25.3,13.8,18.5,0.0,0.0,0.0,0.0,0.6380000000000001,1.339,18.46666666666667,19.5,0,0.0,0.0,4.437000000000001,9.315,1
2023-03-08,30.1,16.4,22.8,0.134,0.0,0.937,0.134,0.5400000000000001,1.0950000000000002,19.2,19.900000000000002,0,0.0,0.0,3.748000000000001,7.634,0
2023-03-09,33.0,19.2,25.1,0.114,0.0,0.799,0.114,0.2480000000000001,1.209,22.133333333333336,20.671428571428574,1,1.0,1.0,1.736000000000001,8.433,0
2023-03-10,36.6,28.1,31.6,1.185,0.012,8.213,1.185,1.4330000000000003,2.3390000000000004,26.5,22.271428571428572,1,2.0,2.0,9.949,16.259999999999998,0
2023-03-11,34.3,17.9,25.8,0.067,0.0,0.469,0.067,1.3660000000000003,2.138,27.5,22.95714285714286,1,3.0,3.0,9.481,14.854999999999999,0
2023-03-12,35.0,23.7,28.6,0.098,0.0,0.689,0.098,1.3500000000000003,2.004,28.666666666666668,24.1,1,3.0,4.0,9.370999999999999,13.918,0
2023-03-13,37.5,21.2,28.9,0.008,0.0,0.055,0.008,0.17300000000000024,1.606,27.766666666666666,25.900000000000002,1,3.0,5.0,1.2129999999999999,11.161999999999999,1
2023-03-14,41.9,25.2,32.5,0.303,0.004,2.094,0.303,0.40900000000000025,1.909,30.0,27.900000000000002,1,3.0,6.0,2.8379999999999996,13.256,0
2023-03-15,36.8,22.7,32.7,0.685,0.008,4.74,0.685,0.9960000000000003,2.46,31.366666666666664,29.314285714285713,1,3.0,7.0,6.888999999999999,17.058999999999997,0
2023-03-16,28.5,12.4,20.6,0.0,0.0,0.0,0.0,0.9880000000000003,2.346,28.600000000000005,28.67142857142857,0,2.0,6.0,6.834,16.259999999999998,1
2023-03-17,28.4,7.8,19.5,0.0,0.0,0.0,0.0,0.6850000000000003,1.161,24.26666666666667,26.942857142857143,0,1.0,5.0,4.74,8.047,2
2023-03-18,30.5,11.1,21.3,0.0,0.0,0.0,0.0,0.0,1.094,20.46666666666667,26.3,0,0.0,4.0,0.0,7.578,3
2023-03-19,37.3,13.3,24.6,0.039,0.0,0.276,0.039,0.03900000000000022,1.035,21.8,25.728571428571428,1,1.0,4.0,0.276,7.165000000000001,0
2023-03-20,32.9,20.4,27.3,0.693,0.0,4.878,0.693,0.7320000000000002,1.72,24.400000000000002,25.5,1,2.0,4.0,5.154,11.988,0
2023-03-21,37.5,18.5,27.0,0.087,0.0,0.606,0.087,0.8190000000000002,1.504,26.3,24.714285714285715,1,3.0,4.0,5.76,10.500000000000002,0
2023-03-22,29.1,23.7,27.0,0.402,0.0,2.839,0.402,1.1820000000000002,1.221,27.099999999999998,23.900000000000002,0,2.0,3.0,8.323,8.599,0
