trail_name,latitude,longitude,distance_miles,minimum_elevation_feet,maximum_elevation_feet,elevation_gain_feet,elevation_loss_feet,elevation_range_feet,sample_count
9K Trail,40.6156847,-111.5370738,4.7,9101.3,9443.5,623.0,487.0,342.2,383
Apex,40.624907699999994,-111.5331572,2.2,8754.8,9605.0,33.7,843.5,850.2,179
Armstrong,40.6520798,-111.52831220000002,3.0,6947.7,7900.9,10.6,956.3,953.2,243
Big Easy,40.68756230000001,-111.4890656,1.2,6758.6,6824.3,86.4,30.1,65.6,94
CMG,40.64492680000001,-111.5159166,2.9,7013.4,8235.3,3.6,1214.5,1221.9,238
Cyn City,40.620879399999986,-111.5211681,2.6,8371.9,9047.9,11.3,675.5,676.0,212
Empire Link,40.624661,-111.5080778,2.2,7855.6,8275.8,544.3,208.7,420.2,179
Flagstaff Loop,40.60789630000001,-111.4971378,2.2,8782.4,8935.8,230.3,236.2,153.4,181
Jenni's Trail upper,40.639566699999996,-111.5112078,3.1,7491.0,8170.4,150.1,805.3,679.5,253
Keystone Trail,40.62398249999998,-111.5280761,2.6,8568.0,9029.7,99.2,553.8,461.7,211
Lost Prospector,40.65901600000001,-111.490176,3.2,6868.8,7160.7,336.0,271.2,291.9,256
Mid-Mountain Trail,40.62806400000001,-111.51399,7.4,8096.5,8520.7,868.9,751.7,424.2,597
Mother Urban,40.63643319999999,-111.5009833,2.4,7664.3,8279.0,46.4,639.4,614.7,192
Rambler,40.69544569999999,-111.4874682,2.1,6766.9,7064.2,131.3,319.7,297.3,167
Ripple Trail,40.63461739999999,-111.47774560000002,2.3,7239.6,7860.8,5.0,621.8,621.3,189
Round Valley Express,40.68866779999999,-111.4899257,1.3,6716.9,6963.5,250.4,26.0,246.6,104
Solamere,40.65173099999999,-111.472688,0.4,7231.7,7422.9,178.9,29.9,191.2,32
Spiro Trail,40.64795199999999,-111.524792,3.1,6935.6,8185.2,1283.2,48.2,1249.6,250
Tidal Wave,40.61150069999999,-111.4904225,2.7,8128.9,9254.0,5.3,1120.5,1125.1,217
