date,trail_name,trail_latitude,trail_longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precip_1d,precip_3d,precip_7d,mean_temp_3d,mean_temp_7d,freeze_thaw,freeze_thaw_3d,freeze_thaw_7d,snowfall_3d,snowfall_7d,days_since_precip,distance_miles,minimum_elevation_feet,maximum_elevation_feet,elevation_gain_feet,elevation_loss_feet,elevation_range_feet,sample_count
2023-01-01,9K Trail,40.6156847,-111.5370738,27.2,22.6,25.5,1.661,0.0,11.63,1.661,1.661,1.661,25.5,25.5,0,0.0,0.0,11.63,11.63,0,4.7,9101.3,9443.5,623.0,487.0,342.2,383
2023-01-01,Apex,40.6249077,-111.5331572,27.7,23.1,26.1,1.661,0.0,11.63,1.661,1.661,1.661,26.1,26.1,0,0.0,0.0,11.63,11.63,0,2.2,8754.8,9605.0,33.7,843.5,850.2,179
2023-01-01,Armstrong,40.6520798,-111.52831220000002,31.0,25.6,28.9,1.654,0.0,11.575,1.654,1.654,1.654,28.9,28.9,0,0.0,0.0,11.575,11.575,0,3.0,6947.7,7900.9,10.6,956.3,953.2,243
2023-01-01,Big Easy,40.68756230000001,-111.4890656,30.2,24.3,27.7,1.366,0.0,9.563,1.366,1.366,1.366,27.7,27.7,0,0.0,0.0,9.563,9.563,0,1.2,6758.6,6824.3,86.4,30.1,65.6,94
2023-01-01,CMG,40.64492680000001,-111.5159166,28.8,23.4,26.6,1.654,0.0,11.575,1.654,1.654,1.654,26.6,26.6,0,0.0,0.0,11.575,11.575,0,2.9,7013.4,8235.3,3.6,1214.5,1221.9,238
2023-01-01,Cyn City,40.62087939999999,-111.5211681,26.2,20.8,24.1,1.654,0.0,11.575,1.654,1.654,1.654,24.1,24.1,0,0.0,0.0,11.575,11.575,0,2.6,8371.9,9047.9,11.3,675.5,676.0,212
2023-01-01,Empire Link,40.624661,-111.5080778,29.6,23.8,27.2,1.728,0.0,12.098,1.728,1.728,1.728,27.2,27.2,0,0.0,0.0,12.098,12.098,0,2.2,7855.6,8275.8,544.3,208.7,420.2,179
2023-01-01,Flagstaff Loop,40.60789630000001,-111.4971378,26.5,20.7,24.1,1.728,0.0,12.098,1.728,1.728,1.728,24.1,24.1,0,0.0,0.0,12.098,12.098,0,2.2,8782.4,8935.8,230.3,236.2,153.4,181
2023-01-01,Jenni's Trail upper,40.6395667,-111.5112078,30.9,25.1,28.5,1.728,0.0,12.098,1.728,1.728,1.728,28.5,28.5,0,0.0,0.0,12.098,12.098,0,3.1,7491.0,8170.4,150.1,805.3,679.5,253
2023-01-01,Keystone Trail,40.62398249999998,-111.5280761,28.5,23.9,26.9,1.661,0.0,11.63,1.661,1.661,1.661,26.9,26.9,0,0.0,0.0,11.63,11.63,0,2.6,8568.0,9029.7,99.2,553.8,461.7,211
