trail_name,segment_count,total_length_meters,total_length_miles,category,keep,notes
Mid-Mountain Trail,40,11888.9,7.39,mountain_bike_trail,yes,Manually reviewed and confirmed
9K Trail,10,7659.5,4.76,mountain_bike_trail,yes,Manually reviewed and confirmed
Mother Urban,14,7212.8,4.48,mountain_bike_trail,yes,Manually reviewed and confirmed
Rambler,18,6853.9,4.26,mountain_bike_trail,yes,Manually reviewed and confirmed
CMG,11,6316.2,3.92,mountain_bike_trail,yes,Manually reviewed and confirmed
Lost Prospector,17,5852.3,3.64,mountain_bike_trail,yes,Manually reviewed and confirmed
Big Easy,13,5370.8,3.34,mountain_bike_trail,yes,Manually reviewed and confirmed
Deer Valley Service,32,5029.8,3.13,service_route,no,Manually reviewed and excluded
Jenni's Trail upper,11,5014.0,3.12,mountain_bike_trail,yes,Manually reviewed and confirmed
Spiro Trail,9,4967.3,3.09,mountain_bike_trail,yes,Manually reviewed and confirmed
Ripple Trail,22,4871.6,3.03,mountain_bike_trail,yes,Manually reviewed and confirmed
Armstrong,2,4810.4,2.99,mountain_bike_trail,yes,"Confirmed trail, but OpenStreetMap geometry is incomplete"
Flagstaff Loop,20,4600.2,2.86,mountain_bike_trail,yes,Manually reviewed and confirmed
Tidal Wave,13,4299.6,2.67,mountain_bike_trail,yes,Manually reviewed and confirmed
Cyn City,3,4211.6,2.62,mountain_bike_trail,yes,Manually reviewed and confirmed
Keystone Trail,8,4190.2,2.6,mountain_bike_trail,yes,Manually reviewed and confirmed
Round Valley Express,22,4029.4,2.5,mountain_bike_trail,yes,Manually reviewed and confirmed
Solamere,11,3768.7,2.34,mountain_bike_trail,yes,Manually reviewed and confirmed
Empire Link,9,3544.9,2.2,mountain_bike_trail,yes,Manually reviewed and confirmed
Apex,6,3541.2,2.2,mountain_bike_trail,yes,Manually reviewed and confirmed
Thaynes Road,17,3532.8,2.2,uncertain,,Needs review
Holy Roller,11,3509.2,2.18,uncertain,,Needs review
Naildriver,13,3346.0,2.08,uncertain,,Needs review
McConkeys,12,3331.2,2.07,uncertain,,Needs review
Regulator Trail,8,3267.9,2.03,uncertain,,Needs review
Deer Crest,11,3203.4,1.99,uncertain,,Needs review
Gap Loop,7,3093.9,1.92,uncertain,,Needs review
Seldom Seen,7,3062.6,1.9,uncertain,,Needs review
Johns Trail,6,2970.2,1.85,uncertain,,Needs review
Rossi Hill Trail,10,2871.0,1.78,uncertain,,Needs review
The Lookout,3,2764.5,1.72,uncertain,,Needs review
Pipeline,5,2684.8,1.67,uncertain,,Needs review
Snowtop,2,2678.9,1.66,uncertain,,Needs review
Boulder,3,2672.4,1.66,uncertain,,Needs review
Payday,7,2668.0,1.66,uncertain,,Needs review
Lynx #2,3,2535.7,1.58,uncertain,,Needs review
Downward Dog,3,2535.5,1.58,uncertain,,Needs review
Drift Road,14,2535.4,1.58,uncertain,,Needs review
Tommys Two Step,5,2482.5,1.54,uncertain,,Needs review
Freemason,4,2475.1,1.54,uncertain,,Needs review
Gotcha Cuttoff,7,2383.7,1.48,uncertain,,Needs review
Undertow Trail,8,2334.7,1.45,uncertain,,Needs review
Claim Jumper,11,2318.7,1.44,uncertain,,Needs review
Jenni's Trail,7,2261.1,1.41,uncertain,,Needs review
Pulp Friction,2,2225.8,1.38,uncertain,,Needs review
TDS Ontario Bypass,14,2208.4,1.37,uncertain,,Needs review
Ontario Canyon,12,2198.7,1.37,uncertain,,Needs review
Tour De Homes,2,2190.2,1.36,uncertain,,Needs review
Rademan Ridge,10,2151.3,1.34,uncertain,,Needs review
Fast Pitch Trail,7,2129.3,1.32,uncertain,,Needs review
Hat Trick Trail,5,2108.2,1.31,uncertain,,Needs review
Corvair,5,2100.1,1.3,uncertain,,Needs review
Team Big Bear,3,2096.0,1.3,uncertain,,Needs review
Nowhere Elks,10,2053.2,1.28,uncertain,,Needs review
Masonic,3,2046.5,1.27,uncertain,,Needs review
Evil Empire,5,2024.6,1.26,uncertain,,Needs review
Ontario Ridge Road,8,2023.7,1.26,uncertain,,Needs review
Trestle,11,2021.9,1.26,uncertain,,Needs review
Jupiter Access,9,2007.1,1.25,uncertain,,Needs review
Skid Row,3,1977.4,1.23,uncertain,,Needs review
Red Bull,5,1947.7,1.21,uncertain,,Needs review
Valderoad,8,1917.2,1.19,uncertain,,Needs review
King Road,4,1911.1,1.19,uncertain,,Needs review
T&G,7,1885.9,1.17,uncertain,,Needs review
Johns '99,3,1844.8,1.15,uncertain,,Needs review
Lower Devo Trail,5,1804.4,1.12,uncertain,,Needs review
Solamere Connector,1,1687.4,1.05,uncertain,,Needs review
Twist and Shout,4,1686.5,1.05,uncertain,,Needs review
Crescent Ridge,7,1679.1,1.04,uncertain,,Needs review
Gambel Oak Trail,4,1658.2,1.03,uncertain,,Needs review
Steps,5,1653.1,1.03,uncertain,,Needs review
Backslide,4,1639.5,1.02,uncertain,,Needs review
Sweeney Switchbacks,3,1631.0,1.01,uncertain,,Needs review
Matt's Flat,13,1597.7,0.99,uncertain,,Needs review
Sam's Trail,5,1547.3,0.96,uncertain,,Needs review
Road to Ruby,6,1546.3,0.96,uncertain,,Needs review
Silver Queen,1,1541.9,0.96,uncertain,,Needs review
Somewhere Elks,1,1536.2,0.95,uncertain,,Needs review
Flat Cable,10,1535.3,0.95,uncertain,,Needs review
La Dee Duh,4,1530.0,0.95,uncertain,,Needs review
Fat Lip,4,1529.0,0.95,uncertain,,Needs review
