trail_name,distance_miles,minimum_elevation_feet,maximum_elevation_feet,elevation_gain_feet,elevation_loss_feet,elevation_range_feet,sample_count
Spiro Trail,3.1,6935.6,8185.2,1283.2,48.2,1249.6,250
Mid-Mountain Trail,7.4,8096.5,8520.7,868.9,751.7,424.2,597
9K Trail,4.7,9101.3,9443.5,623.0,487.0,342.2,383
Empire Link,2.2,7855.6,8275.8,544.3,208.7,420.2,179
Lost Prospector,3.2,6868.8,7160.7,336.0,271.2,291.9,256
Round Valley Express,1.3,6716.9,6963.5,250.4,26.0,246.6,104
Flagstaff Loop,2.2,8782.4,8935.8,230.3,236.2,153.4,181
Solamere,0.4,7231.7,7422.9,178.9,29.9,191.2,32
Jenni's Trail upper,3.1,7491.0,8170.4,150.1,805.3,679.5,253
Rambler,2.1,6766.9,7064.2,131.3,319.7,297.3,167
Keystone Trail,2.6,8568.0,9029.7,99.2,553.8,461.7,211
Big Easy,1.2,6758.6,6824.3,86.4,30.1,65.6,94
Mother Urban,2.4,7664.3,8279.0,46.4,639.4,614.7,192
Apex,2.2,8754.8,9605.0,33.7,843.5,850.2,179
Cyn City,2.6,8371.9,9047.9,11.3,675.5,676.0,212
Armstrong,3.0,6947.7,7900.9,10.6,956.3,953.2,243
Tidal Wave,2.7,8128.9,9254.0,5.3,1120.5,1125.1,217
Ripple Trail,2.3,7239.6,7860.8,5.0,621.8,621.3,189
CMG,2.9,7013.4,8235.3,3.6,1214.5,1221.9,238
