weather_group_id,representative_latitude,representative_longitude,representative_elevation_feet,trail_count,minimum_elevation_feet,maximum_elevation_feet
WG067,40.71039201692789,-111.49927923287808,6632.442307692308,26,6504.2,6781.5
WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4
WG032,40.63316129859746,-111.4972094920929,7772.594999999999,20,7565.4,7992.5
WG057,40.69125203345058,-111.49243801916333,6866.7875,16,6681.3,6974.3
WG028,40.63813533360966,-111.46989278217144,7285.635714285715,14,7008.1,7464.6
WG031,40.63884335537556,-111.49565802295125,7395.846153846154,13,7246.4,7482.8
WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8
WG055,40.68630759141558,-111.47157098419667,6782.863636363636,11,6677.5,6977.4
WG036,40.63482220181402,-111.52269875786169,8332.390000000001,10,8147.6,8474.2
WG078,40.74423832662315,-111.5834554993276,6756.42,10,6548.4,6961.5
WG012,40.61888894754071,-111.49552539062498,8248.885714285714,7,8022.2,8441.1
WG035,40.64346516526096,-111.51780426216148,7690.628571428571,7,7598.1,7789.7
WG044,40.66389305957432,-111.45939962414351,6833.714285714285,7,6689.8,6920.8
WG001,40.58840378840483,-111.40762165616921,6685.099999999999,6,6514.0,6895.7
WG033,40.63109424472188,-111.4959053166989,8111.05,6,8033.8,8293.6
WG037,40.630145247916666,-111.52468860288081,8645.783333333333,6,8520.6,8890.7
WG046,40.66187492867717,-111.49796460025475,6885.5,6,6803.8,6970.8
WG047,40.65621958820662,-111.48837624533832,7181.333333333333,6,7044.5,7472.0
WG015,40.62070537872283,-111.51305445334124,8305.02,5,8146.4,8439.2
WG017,40.61204535479932,-111.53286683509775,9229.779999999999,5,9025.4,9445.9
WG029,40.632916150131464,-111.4726972583342,7664.32,5,7537.3,7937.9
WG070,40.71705543669817,-111.55769067162726,6722.32,5,6598.1,6927.9
WG071,40.706703224328294,-111.56087753113472,7328.360000000001,5,7034.2,7487.6
WG077,40.74492977315013,-111.55110213045782,6592.74,5,6560.0,6629.0
WG089,40.75386833936985,-111.59056497219808,6671.460000000001,5,6619.5,6719.0
WG009,40.59564462277464,-111.58213795548065,9189.1,4,9081.0,9276.0
WG010,40.58630944738377,-111.57685914384426,9723.9,4,9625.4,9813.5
WG020,40.61411427707917,-111.55642236610704,9308.525,4,9179.4,9423.9
WG045,40.65708639962564,-111.47654910263404,7252.25,4,7133.0,7331.1
WG063,40.69085463847745,-111.5779563957554,7759.775,4,7584.0,7873.2
WG074,40.73706115382266,-111.49551028769847,6476.825,4,6451.3,6494.3
WG076,40.74069212010417,-111.56063194889737,6390.15,4,6361.5,6429.9
WG006,40.58602891944682,-111.5191730844668,8579.766666666666,3,8552.8,8621.7
WG011,40.622988362254524,-111.50832399147357,7906.433333333333,3,7745.3,7987.6
WG018,40.61362040336093,-111.53695617408728,9685.5,3,9588.6,9869.4
WG021,40.61124195456744,-111.5513721327718,9727.866666666667,3,9653.6,9871.3
WG026,40.63538712442058,-111.43401393310636,6285.233333333334,3,6210.9,6383.2
WG027,40.63189324838743,-111.45401786787947,6785.2,3,6692.5,6888.6
WG040,40.65713842615569,-111.41562559900821,6288.733333333334,3,6267.2,6299.6
WG042,40.65947466871637,-111.43052245198787,6771.633333333334,3,6558.6,6961.2
WG051,40.651420023019774,-111.52500717135881,7578.966666666667,3,7505.7,7664.9
WG058,40.691914833984534,-111.48428961531694,7039.433333333333,3,7017.0,7064.7
WG068,40.705427430210094,-111.52628700792265,6444.366666666666,3,6437.7,6454.0
WG082,40.73588872246128,-111.61820195845797,7690.099999999999,3,7652.8,7712.2
WG004,40.59253130725229,-111.4945768147197,8693.75,2,8532.5,8855.0
WG008,40.59163276785095,-111.56782206164368,9746.0,2,9680.6,9811.4
WG014,40.60622522843789,-111.48265166343101,9046.5,2,9020.3,9072.7
WG022,40.61320795505473,-111.57880643059633,8739.099999999999,2,8712.4,8765.8
WG024,40.63862398769229,-111.41096225934186,6236.049999999999,2,6216.7,6255.4
WG034,40.64881052825521,-111.51396193116209,7321.65,2,7207.7,7435.6
WG041,40.664116323629585,-111.42100453705811,6404.05,2,6403.1,6405.0
WG050,40.65036146579588,-111.51069487384395,7057.450000000001,2,7041.1,7073.8
WG053,40.65926335963832,-111.54978679743493,8193.849999999999,2,8081.9,8305.8
WG059,40.69495253271869,-111.54799136859384,6746.75,2,6614.6,6878.9
WG060,40.69412745768264,-111.56133434882474,7178.4,2,7029.9,7326.9
WG064,40.69011273159471,-111.5787622614175,8042.75,2,8004.0,8081.5
WG066,40.71906208106929,-111.50578512280765,6466.700000000001,2,6453.3,6480.1
WG072,40.71165411284936,-111.58025636268573,7707.4,2,7539.3,7875.5
WG075,40.73550340302089,-111.53177853638917,6619.05,2,6536.5,6701.6
WG084,40.75679144669109,-111.52663519067355,6764.6,2,6723.8,6805.4
WG085,40.75528628912842,-111.5622626162089,6310.25,2,6277.4,6343.1
WG086,40.75467337144941,-111.55644341976684,6637.85,2,6586.2,6689.5
WG087,40.767839038301695,-111.54373482909419,7275.6,2,7230.0,7321.2
WG090,40.75970204254986,-111.60640221063798,7253.25,2,7081.5,7425.0
WG002,40.58370423178651,-111.40605522395904,7149.3,1,7149.3,7149.3
WG003,40.585198990338895,-111.50729227137398,8248.2,1,8248.2,8248.2
WG005,40.59796119210968,-111.4848069886625,9014.7,1,9014.7,9014.7
WG007,40.59029104976929,-111.52734087474852,9033.3,1,9033.3,9033.3
WG019,40.62270505527668,-111.54357954562096,8723.6,1,8723.6,8723.6
WG023,40.61247305094488,-111.5715274805363,9057.3,1,9057.3,9057.3
