date,trail_name,final_area,weather_group_id,trail_latitude,trail_longitude,trail_elevation_feet,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum
2026-08-26,24-7,Jeremy Ranch / Glenwild,WG086,40.7580938928905,-111.55747502780672,6689.5,3,81.3,57.4,69.7,0.0,0.0,0.0
2026-08-26,4:20,Deer Valley,WG032,40.63850725810498,-111.5016215026881,7810.7,3,76.8,59.6,68.1,0.0,0.0,0.0
2026-08-26,9K Trail,Park City / PCMR,WG017,40.61454424262402,-111.5340694590712,9222.8,3,68.5,54.0,61.3,0.0,0.0,0.0
2026-08-26,A Toll New World,Summit Park,WG078,40.74525880222984,-111.59660432287036,6843.1,3,83.0,57.1,70.9,0.0,0.0,0.0
2026-08-26,Abilene Way,Jeremy Ranch / Glenwild,WG068,40.705162592888,-111.52848253655898,6454.0,3,82.9,55.3,69.9,0.0,0.0,0.0
2026-08-26,Agitator Trail,Deer Valley,WG028,40.62594479567907,-111.46053082324435,7171.6,3,78.5,61.3,69.9,0.0,0.0,0.0
2026-08-26,Alexander Creek Trail,Summit Park,WG093,40.75856130522611,-111.67962308025976,5873.5,3,85.1,65.6,76.2,0.0,0.0,0.0
2026-08-26,Alta-Brighton Trail,Park City / PCMR,WG009,40.59874189108338,-111.5904390735144,9081.0,3,70.4,53.1,61.0,0.0,0.0,0.0
2026-08-26,Ambush,Jeremy Ranch / Glenwild,WG063,40.694225906082366,-111.58181443950004,7757.7,3,76.5,59.2,68.2,0.0,0.0,0.0
2026-08-26,Amenti,Round Valley,WG067,40.71749758221375,-111.50096260266577,6526.6,3,83.0,55.5,69.4,0.0,0.0,0.0
2026-08-26,An Unexpected Journey Trail,Jordanelle,WG001,40.584095263003086,-111.41492155800285,6731.9,53,82.5,60.3,70.8,0.028,0.028,0.0
2026-08-26,Ancient Forest Loop,Round Valley,WG074,40.7314260153664,-111.49224006112888,6485.8,3,83.5,58.3,70.7,0.0,0.0,0.0
2026-08-26,Ant Farm,Jeremy Ranch / Glenwild,WG077,40.74632495230274,-111.55092174051572,6629.0,3,81.5,57.5,69.8,0.0,0.0,0.0
2026-08-26,Apex,Park City / PCMR,WG038,40.62520958876211,-111.53395003281469,9146.4,3,68.8,54.3,61.6,0.0,0.0,0.0
2026-08-26,April Mountain Trail,Deer Valley,WG047,40.650711302598815,-111.4870593388075,7472.0,3,80.0,57.9,69.7,0.0,0.0,0.0
2026-08-26,Armstrong,Park City / PCMR,WG051,40.65248508262897,-111.52994268919429,7566.3,3,77.9,60.5,69.1,0.0,0.0,0.0
2026-08-26,Ashley Avenue,Round Valley,WG057,40.68155854272997,-111.50389122653404,6794.6,3,80.9,54.1,68.7,0.0,0.0,0.0
2026-08-26,Aspen Slalom,Deer Valley,WG013,40.61311265842392,-111.48457791355952,8816.9,3,72.1,55.0,62.9,0.0,0.0,0.0
2026-08-26,BLT,Jeremy Ranch / Glenwild,WG070,40.71492142685356,-111.56084442077211,6927.9,3,81.0,57.1,69.4,0.0,0.0,0.0
2026-08-26,BYOB,Pinebrook,WG070,40.718283985000745,-111.55661288864135,6639.8,3,81.0,57.1,69.4,0.0,0.0,0.0
2026-08-26,Backslide,Round Valley,WG057,40.686236769495366,-111.49111386346571,6972.4,3,80.9,54.1,68.7,0.0,0.0,0.0
2026-08-26,Bad Apple,Jeremy Ranch / Glenwild,WG076,40.74937514368386,-111.56017979748744,6367.9,3,82.2,58.3,70.5,0.0,0.0,0.0
2026-08-26,Bamm Bamm,Round Valley,WG067,40.71001316656963,-111.50256230173504,6667.3,3,83.0,55.5,69.4,0.0,0.0,0.0
2026-08-26,Barrel Roll,Round Valley,WG058,40.69153134198254,-111.48458530535574,7017.0,3,80.3,53.5,68.1,0.0,0.0,0.0
2026-08-26,Beep Beep Trail,Jordanelle,WG001,40.59039066618902,-111.4033797731244,6670.3,53,82.5,60.3,70.8,0.028,0.028,0.0
2026-08-26,Big Dipper,Jordanelle,WG042,40.66018548005414,-111.43175307695702,6961.2,51,81.1,59.3,69.8,0.016,0.016,0.0
2026-08-26,Big Easy,Round Valley,WG057,40.696128326880846,-111.48285293654745,6776.5,3,80.9,54.1,68.7,0.0,0.0,0.0
2026-08-26,Black Forest,Deer Valley,WG016,40.61940428916709,-111.52036519166067,8929.3,3,72.0,54.9,62.8,0.0,0.0,0.0
2026-08-26,Blackhawk Trail,Jeremy Ranch / Glenwild,WG075,40.73111252615939,-111.53542276920604,6536.5,3,81.4,57.5,69.7,0.0,0.0,0.0
2026-08-26,Blazing Saddle,Park City / PCMR,WG020,40.61652898868821,-111.55635878361066,9384.9,3,68.2,53.7,61.0,0.0,0.0,0.0
2026-08-26,Bonanza Flat Overlook,Deer Valley,WG017,40.60116766018752,-111.5344182482656,9112.3,3,68.5,54.0,61.3,0.0,0.0,0.0
2026-08-26,Bonanza Loop Trail,Deer Valley,WG016,40.60282163896819,-111.52815381158308,8908.5,3,72.0,54.9,62.8,0.0,0.0,0.0
2026-08-26,Bonanza Trail,Deer Valley,WG046,40.661614248984336,-111.49584605339936,6814.3,3,81.1,58.9,70.7,0.0,0.0,0.0
2026-08-26,Boot Hill,Park City / PCMR,WG046,40.66311538182378,-111.50841776480048,6853.1,3,81.1,58.9,70.7,0.0,0.0,0.0
2026-08-26,Boot Hill Connect,Park City / PCMR,WG046,40.66384832032967,-111.50809692977944,6921.4,3,81.1,58.9,70.7,0.0,0.0,0.0
2026-08-26,Boulder,Deer Valley,WG013,40.61539223980999,-111.50399769475118,8635.0,3,72.1,55.0,62.9,0.0,0.0,0.0
2026-08-26,Boulder / Trump,Deer Valley,WG013,40.610998229404565,-111.50208555144307,8996.4,3,72.1,55.0,62.9,0.0,0.0,0.0
2026-08-26,Bourbon Street,Round Valley,WG067,40.70798253656,-111.48164466049944,6673.3,3,83.0,55.5,69.4,0.0,0.0,0.0
2026-08-26,Bow Hunter,Deer Valley,WG014,40.60108596513679,-111.48484426536052,9020.3,3,71.2,54.1,61.9,0.0,0.0,0.0
2026-08-26,Bow Hunter Extension,Deer Valley,WG005,40.59796119210968,-111.4848069886625,9014.7,3,71.3,54.2,62.1,0.0,0.0,0.0
2026-08-26,Brighton Lakes Trail,Park City / PCMR,WG009,40.59287052758444,-111.58751257009568,9276.0,3,70.4,53.1,61.0,0.0,0.0,0.0
2026-08-26,Bronto Jam,Round Valley,WG067,40.71004954775594,-111.501977414722,6672.8,3,83.0,55.5,69.4,0.0,0.0,0.0
2026-08-26,CMG,Park City / PCMR,WG035,40.645848884326966,-111.51679268892973,7606.5,3,77.5,60.1,68.8,0.0,0.0,0.0
2026-08-26,Cammy's,Round Valley,WG057,40.69072662264133,-111.49673800313964,6953.5,3,80.9,54.1,68.7,0.0,0.0,0.0
2026-08-26,Canyons Downhill,Pinebrook,WG061,40.68430916809496,-111.56849091879047,7666.2,3,76.8,59.5,68.5,0.0,0.0,0.0
2026-08-26,Catherine's Pass Trail,Park City / PCMR,WG010,40.585096359880005,-111.59078643106362,9753.9,3,68.5,51.2,59.1,0.0,0.0,0.0
2026-08-26,Claim Jumper,Park City / PCMR,WG036,40.63958065995946,-111.52518162563226,8147.6,3,73.6,58.7,65.5,0.0,0.0,0.0
2026-08-26,Clayton Peak Trail,Park City / PCMR,WG010,40.58693552999217,-111.57085635011327,9813.5,3,68.5,51.2,59.1,0.0,0.0,0.0
2026-08-26,Cobblestone Loop,Jeremy Ranch / Glenwild,WG084,40.75845647840704,-111.52582619388934,6805.4,3,82.8,60.2,70.6,0.0,0.0,0.0
2026-08-26,Cobblestone Trail,Jeremy Ranch / Glenwild,WG084,40.75512641497514,-111.52744418745776,6723.8,3,82.8,60.2,70.6,0.0,0.0,0.0
2026-08-26,Colin's Trail,Jeremy Ranch / Glenwild,WG060,40.69629937433107,-111.55671582168428,7029.9,3,79.8,58.0,69.5,0.0,0.0,0.0
2026-08-26,Colony Mid Mountain Connector,Park City / PCMR,WG052,40.65011049975458,-111.53932673410868,8429.2,3,72.0,58.0,65.1,0.0,0.0,0.0
2026-08-26,Comstock Mine Trail,Park City / PCMR,WG019,40.62270505527668,-111.54357954562096,8723.6,3,70.3,55.8,63.1,0.0,0.0,0.0
2026-08-26,Constellation Trail,Jordanelle,WG026,40.6428753631073,-111.43505033038012,6261.6,3,84.0,59.7,72.1,0.0,0.0,0.0
2026-08-26,Corvair,Deer Valley,WG016,40.61099169805087,-111.51230389508405,8648.6,3,72.0,54.9,62.8,0.0,0.0,0.0
2026-08-26,Corvair (Upper),Deer Valley,WG016,40.60840912265719,-111.51090449857222,8883.3,3,72.0,54.9,62.8,0.0,0.0,0.0
2026-08-26,Corvair Connector,Deer Valley,WG016,40.61070239150149,-111.5115633319795,8812.1,3,72.0,54.9,62.8,0.0,0.0,0.0
2026-08-26,Cousin Eddy Trail,Clark Ranch,WG044,40.66170094764518,-111.45386933866466,6817.2,3,82.1,56.7,69.6,0.0,0.0,0.0
2026-08-26,Coyote Loop Trail,Jordanelle,WG001,40.58676467246392,-111.40272629625528,6895.7,53,82.5,60.3,70.8,0.028,0.028,0.0
2026-08-26,Crazy Eights,Jeremy Ranch / Glenwild,WG077,40.74908550583131,-111.55291850861556,6580.7,3,81.5,57.5,69.8,0.0,0.0,0.0
2026-08-26,Crescent Ridge,Park City / PCMR,WG036,40.64328062856461,-111.5205999025961,8289.2,3,73.6,58.7,65.5,0.0,0.0,0.0
2026-08-26,Cutter Lane,Jeremy Ranch / Glenwild,WG068,40.7083260127391,-111.53140227257067,6437.7,3,82.9,55.3,69.9,0.0,0.0,0.0
2026-08-26,Cyn City,Park City / PCMR,WG016,40.62106458390316,-111.52108056020784,8700.1,3,72.0,54.9,62.8,0.0,0.0,0.0
2026-08-26,Daily Overlook,Deer Valley,WG031,40.631723443280656,-111.4987920660294,7430.4,3,78.1,60.9,69.5,0.0,0.0,0.0
2026-08-26,Daly Avenue,Deer Valley,WG031,40.63079192228995,-111.49966938212476,7430.3,3,78.1,60.9,69.5,0.0,0.0,0.0
2026-08-26,Daly Bypass,Deer Valley,WG031,40.63469577874592,-111.4972952534869,7351.3,3,78.1,60.9,69.5,0.0,0.0,0.0
2026-08-26,Daly Canyon,Deer Valley,WG011,40.620194319264456,-111.50922727258838,7986.4,3,75.1,60.2,67.0,0.0,0.0,0.0
2026-08-26,Daly Grind,Deer Valley,WG011,40.62436395642222,-111.5065519695764,7745.3,3,75.1,60.2,67.0,0.0,0.0,0.0
2026-08-26,Dawns Trail,Park City / PCMR,WG051,40.65039115727101,-111.52578815180028,7505.7,3,77.9,60.5,69.1,0.0,0.0,0.0
2026-08-26,Dead Reckoning,Summit Park,WG078,40.74804102527887,-111.5901705440554,6808.0,3,83.0,57.1,70.9,0.0,0.0,0.0
2026-08-26,Dead Tree,Park City / PCMR,WG021,40.611358588022426,-111.54588982448988,9653.6,3,66.8,51.4,58.3,0.0,0.0,0.0
2026-08-26,Deep Park Circle,Jordanelle,WG026,40.626894083286025,-111.43587347972714,6383.2,3,84.0,59.7,72.1,0.0,0.0,0.0
2026-08-26,Deer Camp,Deer Valley,WG013,40.60519585339864,-111.4911066437841,8920.6,3,72.1,55.0,62.9,0.0,0.0,0.0
