date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum
2023-01-01,33.2,27.4,30.8,1.728,0.0,12.098
2023-01-02,27.4,21.8,24.8,0.193,0.0,1.35
2023-01-03,23.6,18.5,21.6,0.169,0.008,1.13
2023-01-04,26.3,13.4,19.2,0.0,0.0,0.0
2023-01-05,30.6,20.2,26.6,0.232,0.0,1.626
2023-01-06,29.7,24.2,27.2,0.437,0.0,3.059
2023-01-07,30.0,17.2,22.3,0.0,0.0,0.0
2023-01-08,31.4,18.6,24.4,0.012,0.0,0.083
2023-01-09,31.7,18.8,26.3,0.709,0.0,4.961
2023-01-10,35.7,30.0,32.1,1.244,0.004,8.681
2023-01-11,30.4,18.2,25.6,0.417,0.0,2.921
2023-01-12,36.1,17.8,23.9,0.0,0.0,0.0
2023-01-13,36.5,25.3,31.7,0.0,0.0,0.0
2023-01-14,34.5,24.0,29.3,0.189,0.004,1.323
2023-01-15,29.1,22.8,27.2,1.22,0.0,8.543
2023-01-16,28.2,20.6,24.4,0.327,0.0,2.287
2023-01-17,27.7,20.6,23.6,0.386,0.0,2.728
2023-01-18,23.1,10.6,19.1,0.016,0.0,0.11
2023-01-19,23.6,10.4,16.8,0.079,0.0,0.551
2023-01-20,20.4,9.5,14.9,0.024,0.0,0.165
2023-01-21,22.2,7.6,13.7,0.0,0.0,0.0
2023-01-22,16.1,9.6,12.5,0.063,0.0,0.441
2023-01-23,22.6,8.8,13.7,0.004,0.0,0.028
2023-01-24,19.7,7.5,13.9,0.016,0.0,0.11
2023-01-25,20.3,11.4,15.4,0.055,0.004,0.358
2023-01-26,23.3,11.0,17.2,0.0,0.0,0.0
2023-01-27,27.9,19.4,23.7,0.213,0.0,1.488
2023-01-28,24.9,17.6,22.5,0.217,0.004,1.543
2023-01-29,26.0,17.5,21.0,0.173,0.0,1.213
2023-01-30,17.3,5.8,13.0,0.024,0.0,0.165
2023-01-31,19.1,-2.0,7.6,0.0,0.0,0.0
2023-02-01,26.4,6.8,15.0,0.0,0.0,0.0
2023-02-02,34.6,13.0,22.0,0.0,0.0,0.0
2023-02-03,35.3,17.7,25.3,0.0,0.0,0.0
2023-02-04,38.4,21.3,27.9,0.0,0.0,0.0
2023-02-05,31.6,19.1,25.0,0.15,0.0,1.047
2023-02-06,24.8,15.4,20.5,0.075,0.0,0.524
2023-02-07,31.2,16.9,22.4,0.0,0.0,0.0
2023-02-08,30.3,14.7,21.1,0.063,0.0,0.441
2023-02-09,24.2,7.5,14.2,0.0,0.0,0.0
2023-02-10,34.5,11.7,21.3,0.0,0.0,0.0
2023-02-11,35.4,21.3,29.5,0.0,0.0,0.0
2023-02-12,34.4,19.7,27.3,0.0,0.0,0.0
2023-02-13,35.0,18.5,28.0,0.0,0.0,0.0
2023-02-14,20.3,9.3,15.5,0.098,0.0,0.689
2023-02-15,14.4,5.6,10.7,0.012,0.0,0.083
2023-02-16,22.4,2.6,11.6,0.0,0.0,0.0
2023-02-17,36.3,9.8,21.4,0.0,0.0,0.0
2023-02-18,31.2,13.3,21.9,0.0,0.0,0.0
2023-02-19,30.4,17.8,22.3,0.087,0.0,0.606
2023-02-20,34.1,17.6,25.1,0.051,0.0,0.358
2023-02-21,31.9,20.4,26.3,0.976,0.0,6.835
2023-02-22,25.0,10.7,16.4,0.795,0.0,5.567
2023-02-23,17.4,7.3,12.9,0.272,0.0,1.902
2023-02-24,23.5,9.4,15.4,0.063,0.0,0.441
2023-02-25,36.3,14.2,24.2,0.0,0.0,0.0
2023-02-26,30.3,19.3,24.3,0.059,0.0,0.413
2023-02-27,25.2,20.9,23.1,0.594,0.0,4.161
2023-02-28,22.8,16.4,19.6,0.394,0.0,2.756
2023-03-01,25.1,16.4,20.0,0.378,0.004,2.618
2023-03-02,26.0,15.1,19.7,0.0,0.0,0.0
2023-03-03,26.6,13.4,20.4,0.055,0.0,0.386
2023-03-04,27.5,12.6,21.0,0.268,0.0,1.874
2023-03-05,23.3,16.9,20.6,0.232,0.0,1.626
2023-03-06,19.1,12.3,16.3,0.406,0.004,2.811
2023-03-07,25.3,13.8,18.5,0.0,0.0,0.0
2023-03-08,30.1,16.4,22.8,0.134,0.0,0.937
2023-03-09,33.0,19.2,25.1,0.114,0.0,0.799
2023-03-10,36.6,28.1,31.6,1.185,0.012,8.213
2023-03-11,34.3,17.9,25.8,0.067,0.0,0.469
2023-03-12,35.0,23.7,28.6,0.098,0.0,0.689
2023-03-13,37.5,21.2,28.9,0.008,0.0,0.055
2023-03-14,41.9,25.2,32.5,0.303,0.004,2.094
2023-03-15,36.8,22.7,32.7,0.685,0.008,4.74
2023-03-16,28.5,12.4,20.6,0.0,0.0,0.0
